,Close
2025-09-02,229.72
2025-09-03,238.47
2025-09-04,239.78
2025-09-05,239.69
2025-09-08,237.88
2025-09-09,234.35
2025-09-10,226.79
2025-09-11,230.03
2025-09-12,234.07
2025-09-15,236.7
2025-09-16,238.15
2025-09-17,238.99
2025-09-18,237.88
2025-09-19,245.5
2025-09-22,256.08
2025-09-23,254.43
2025-09-24,252.31
2025-09-25,256.87
2025-09-26,255.46
2025-09-29,254.43
2025-09-30,254.63
2025-10-01,255.45
2025-10-02,257.13
2025-10-03,258.02
2025-10-06,256.69
2025-10-07,256.48
2025-10-08,258.06
2025-10-09,254.04
2025-10-10,245.27
2025-10-13,247.66
2025-10-14,247.77
2025-10-15,249.34
2025-10-16,247.45
2025-10-17,252.29
2025-10-20,262.24
2025-10-21,262.77
2025-10-22,258.45
2025-10-23,259.58
2025-10-24,262.82
2025-10-27,268.81
2025-10-28,269.0
2025-10-29,269.7
2025-10-30,271.4
2025-10-31,270.37
2025-11-03,269.05
2025-11-04,270.04
2025-11-05,270.14
2025-11-06,269.77
2025-11-07,268.47
2025-11-10,269.43
2025-11-11,275.25
2025-11-12,273.47
2025-11-13,272.95
2025-11-14,272.41
2025-11-17,267.46
2025-11-18,267.44
2025-11-19,268.56
2025-11-20,266.25
2025-11-21,271.49
2025-11-24,275.92
2025-11-25,276.97
2025-11-26,277.55
2025-11-28,278.85
2025-12-01,283.1
2025-12-02,286.19
2025-12-03,284.15
2025-12-04,280.7
2025-12-05,278.78
2025-12-08,277.89
2025-12-09,277.18
2025-12-10,278.78
2025-12-11,278.03
2025-12-12,278.28
2025-12-15,274.11
2025-12-16,274.61
2025-12-17,271.84
2025-12-18,272.19
2025-12-19,273.67
2025-12-22,270.97
2025-12-23,272.36
2025-12-24,273.81
2025-12-26,273.4
2025-12-29,273.76
2025-12-30,273.08
2025-12-31,271.86
2026-01-02,271.01
2026-01-05,267.26
2026-01-06,262.36
2026-01-07,260.33
2026-01-08,259.04
2026-01-09,259.37
2026-01-12,260.25
2026-01-13,261.05
2026-01-14,259.96
2026-01-15,258.21
2026-01-16,255.53
2026-01-20,246.7
2026-01-21,247.65
2026-01-22,248.35
2026-01-23,248.04
